P21359,O60307,Q6Y7W6
P04637,P06748,Q01484
P06748,P46939,Q9BQE3
P35568,P11274,P29353
Q09472,P56545,P42771
P22681,P11274,P29353
P04637,P06748,P42771
P11274,Q06124,O60674
P00519,O60674,Q05209
P26358,Q9Y6K1,Q15910
P00519,Q13315,P51451
P06748,Q01484,Q9BQE3
Q00839,Q09472,P42771
P49715,Q01196,Q09472
Q06124,P51692,O60674
P05141,P06748,Q01484
P06748,P42771,Q9BQE3
P04637,Q9NR09,Q9BQE3
P00519,Q07889,P29353
Q00839,P04637,Q09472
P11274,P10721,O60674
P11274,P29353,O60674
P29353,Q06124,Q99062
Q13191,Q06124,P29353
P00519,P51451,P10721
P00519,Q13191,P10721
P22681,P10721,P29353
Q00839,P04637,Q01484
P29353,Q06124,O60674
O60674,P29353,Q05209
P21333,P06748,Q01484
P22681,P00519,P51451
P00519,P11274,O60674
Q13191,P51451,P10721
P35568,Q06124,P29353
P22681,Q06124,P29353
P29353,P40238,O60674
Q6Y7W6,Q13009,Q96QZ7
P11274,Q06124,P29353
P22681,P00519,P29353
P00519,P04637,Q09472
P21359,O60307,Q13009
P04637,P46939,P06748
P22681,Q06124,Q07889
P22681,P51692,P29353
P11274,P00519,P10721
P21359,O60307,Q96QZ7
Q13191,P08581,P51451
Q15696,Q01081,Q01130
P22681,P51451,P10721
P35568,P11274,Q06124
P22681,P11274,Q06124
Q00839,P05141,P06748
P08581,Q07889,P29353
P04637,P21333,Q01484
Q13191,Q06124,P10721
Q00839,P06748,Q9BQE3
P26358,Q09028,O94776
P29353,P10721,Q05209
Q09028,P06748,Q01484
P51668,P01116,O00507
P21333,Q01484,Q9BQE3
Q00839,P04637,P06748
P22681,Q9BQE3,P29353
